EngagementNumber,StartDate,EndDate,StartTime,StopTime,ContractPrice,CustomerID,AgentID,EntertainerID
64,26/12/2017,04/01/2018,00/01/1900,00/01/1900,"1,250.00",10007,3,1013
66,23/12/2017,30/12/2017,00/01/1900,00/01/1900,"2,930.00",10005,5,1006
68,25/12/2017,30/12/2017,00/01/1900,00/01/1900,"1,670.00",10009,1,1005
69,23/12/2017,24/12/2017,00/01/1900,00/01/1900,500.00,10004,7,1008
70,24/12/2017,27/12/2017,00/01/1900,00/01/1900,410.00,10010,6,1001
71,23/12/2017,28/12/2017,00/01/1900,00/01/1900,"1,670.00",10002,1,1003
72,23/12/2017,02/01/2018,00/01/1900,00/01/1900,875.00,10012,4,1011
73,30/12/2017,08/01/2018,00/01/1900,00/01/1900,"1,400.00",10014,5,1001
74,02/01/2018,07/01/2018,00/01/1900,00/01/1900,590.00,10004,1,1005
75,02/01/2018,12/01/2018,00/01/1900,00/01/1900,"2,525.00",10001,7,1007
76,31/12/2017,04/01/2018,00/01/1900,00/01/1900,500.00,10005,7,1012
77,31/12/2017,05/01/2018,00/01/1900,00/01/1900,"1,670.00",10015,5,1003
78,02/01/2018,04/01/2018,00/01/1900,00/01/1900,770.00,10010,4,1010
79,31/12/2017,04/01/2018,00/01/1900,00/01/1900,"1,550.00",10006,8,1006
80,01/01/2018,02/01/2018,00/01/1900,00/01/1900,650.00,10002,5,1008
81,02/01/2018,10/01/2018,00/01/1900,00/01/1900,"1,130.00",10013,4,1002
82,09/01/2018,10/01/2018,00/01/1900,00/01/1900,950.00,10014,8,1003
83,07/01/2018,11/01/2018,00/01/1900,00/01/1900,650.00,10010,2,1006
84,07/01/2018,12/01/2018,00/01/1900,00/01/1900,230.00,10007,3,1012
85,07/01/2018,09/01/2018,00/01/1900,00/01/1900,"1,175.00",10015,4,1008
87,05/01/2018,07/01/2018,00/01/1900,00/01/1900,275.00,10007,6,1008
88,08/01/2018,18/01/2018,00/01/1900,00/01/1900,"1,370.00",10004,8,1013
89,07/01/2018,08/01/2018,00/01/1900,00/01/1900,290.00,10003,8,1010
90,09/01/2018,09/01/2018,00/01/1900,00/01/1900,320.00,10006,5,1001
91,06/01/2018,13/01/2018,00/01/1900,00/01/1900,770.00,10009,3,1004
92,13/01/2018,17/01/2018,00/01/1900,00/01/1900,"1,925.00",10012,6,1008
95,16/01/2018,19/01/2018,00/01/1900,00/01/1900,"1,550.00",10010,6,1007
96,23/01/2018,01/02/2018,00/01/1900,00/01/1900,950.00,10009,6,1005
97,20/01/2018,20/01/2018,00/01/1900,00/01/1900,110.00,10012,8,1004
98,21/01/2018,28/01/2018,00/01/1900,00/01/1900,"2,930.00",10012,2,1010
99,23/01/2018,23/02/2018,00/01/1900,00/01/1900,"14,105.00",10005,6,1008
100,20/01/2018,24/01/2018,00/01/1900,00/01/1900,"1,850.00",10015,3,1006
101,23/01/2018,31/01/2018,00/01/1900,00/01/1900,"1,670.00",10004,5,1001
102,23/01/2018,01/02/2018,00/01/1900,00/01/1900,"2,300.00",10013,5,1007
103,22/01/2018,28/01/2018,00/01/1900,00/01/1900,575.00,10010,4,1011
104,29/01/2018,02/02/2018,00/01/1900,00/01/1900,"1,400.00",10010,6,1003
105,28/01/2018,02/02/2018,00/01/1900,00/01/1900,"1,850.00",10002,4,1013
106,30/01/2018,02/02/2018,00/01/1900,00/01/1900,770.00,10003,6,1006
107,30/01/2018,31/01/2018,00/01/1900,00/01/1900,200.00,10007,4,1004
108,03/02/2018,05/02/2018,00/01/1900,00/01/1900,320.00,10004,5,1012
109,12/02/2018,16/02/2018,00/01/1900,00/01/1900,"1,850.00",10014,5,1010
110,12/02/2018,20/02/2018,00/01/1900,00/01/1900,"1,670.00",10006,8,1001
111,13/02/2018,15/02/2018,00/01/1900,00/01/1900,185.00,10012,1,1004
112,20/02/2018,25/02/2018,00/01/1900,00/01/1900,410.00,10015,7,1011
114,20/02/2018,01/03/2018,00/01/1900,00/01/1900,"1,550.00",10005,1,1002
115,20/02/2018,23/02/2018,00/01/1900,00/01/1900,"1,490.00",10007,5,1013
116,17/02/2018,26/02/2018,00/01/1900,00/01/1900,800.00,10003,6,1012
118,19/02/2018,19/02/2018,00/01/1900,00/01/1900,350.00,10014,1,1010
119,20/02/2018,01/03/2018,00/01/1900,00/01/1900,500.00,10012,2,1004
120,18/02/2018,21/02/2018,00/01/1900,00/01/1900,950.00,10002,7,1008
121,17/02/2018,23/02/2018,00/01/1900,00/01/1900,"2,570.00",10004,3,1006
122,25/02/2018,28/02/2018,00/01/1900,00/01/1900,"1,010.00",10014,5,1010
123,26/02/2018,01/03/2018,00/01/1900,00/01/1900,770.00,10013,1,1001
124,24/02/2018,03/03/2018,00/01/1900,00/01/1900,"1,850.00",10006,1,1008
125,24/02/2018,01/03/2018,00/01/1900,00/01/1900,"1,130.00",10001,3,1003
126,25/02/2018,04/03/2018,00/01/1900,00/01/1900,"1,010.00",10009,6,1006
127,25/02/2018,01/03/2018,00/01/1900,00/01/1900,500.00,10010,4,1005
128,27/02/2018,01/03/2018,00/01/1900,00/01/1900,320.00,10003,4,1011
129,25/02/2018,06/03/2018,00/01/1900,00/01/1900,"2,450.00",10004,5,1013
131,04/03/2018,13/03/2018,00/01/1900,00/01/1900,"1,850.00",10014,1,1003
