SubjectID,CategoryID,SubjectCode,SubjectName,SubjectPreReq,SubjectDescription
11,ART,ART 100,Introduction to Art,,"Historical backgrounds and design fundamentals which have affected art. Includes slide lectures, reading and practical studio applications."
12,ART,ART 101,Design,,"Studio sudies in the fundamentals of two-dimensional art with problems based on line, space, texture, shape and color theories. Includes practical applications of these theories to design."
13,ART,ART 111,Drawing,,"Study of line, value, space, perspective, and compostion through the use o charcoal, pencil, pen, and brush."
14,ART,ART 201,Painting,,"Beginning painting in oil or synthetic media using still life. Emphasis on basics such as composition, value studies, color mixing, canvas preparation, and various styles and techniques. No prerequisite; some drawing background important."
15,ART,ART 210,Computer Art,,"Explore the elements of art such as line, value, space, composition, and color through the use of the computer. Sudents will create works of art using the computer."
16,ART,ART 251,Art History,,"Surveys major forms of visual expression from the Paleolithic, Egyptian, Mesopotamian, Greek, Roman, and Early Christian periods. Includes painting, sculpture, architecture, lectures, slides, and readings."
17,BIO,BIO 100,Biological Principles,,"An introductory biology course with lab for the non-science major. May include maintenance of the balance between man and his environment, nutrition, genetics and inheritence, ecological principles, plant and animal diversity, and evolution."
18,BIO,BIO 101,General Biology,,"Basic bilogical concepts with emphasis on general cell processes, plant and animal diversity, morphyology, limited reproduction, phylogeny of the living organisms, exploration of molecular genetics."
19,BIO,BIO 280,Microbiology,,"Introduction to micro-organisms including microbial cell structure and function; metabolism; microbial genetics; and the role of micro-organisms in disease, immunity, and other selected applied areas."
20,CHE,CHE 101,Chemistry,,General chemistry for non-science majors. Completion of CHE 101 fulfills chemistry requirements for many health science majors.
21,CHE,CHE 139,Fundamentals of Chemistry,,"Prepatory for the science major chemistry courses for students without prior chemistry experience. This lecture format will include chemical mathematics, basic atomic structure, chemical bonding, chemical equation balancing and mole concept, and chemical stoichiometry."
22,CHE,CHE 231,Organic Chemistry,,"Structure, nomenclature, reactions, and synthesis of the main types of organic compounds."
23,CIS,CIS 101,Microcomputer Applications,,"This is a ""hands-on"" course. Students will learn how to use word processing, spreadsheet, and database applications. General operation systems activities such as deleting files, renaming files, and creating and navigating directory structures will also be covered."
24,CIS,CIS 102,Information Systems Concepts,,"Provides a broad introduction to computers and information systems. Includes coverage of hardware, software, data organization, data communications, and systems development. Also covers the evolving role of computers in society."
25,CIS,CIS 114,Problem Solving and Structured Programming,,"Covers design, documentation, and coding of programs using top-down design and structured programming principles. Includes introduction to multi-user systems, text editors, data access and storage techniques."
26,CIS,CIS 236,Database Management,,"Includes database concepts, data management techniques, database environment, record relationships, and advantages and limitations of the database approach. Includes data modeling and database design."
27,CSC,CSC 110,Programming in BASIC,,Computer programming and program design using the Visual Basic programming language. Emphasis is on Program Design and Algorithm Development while writing programs primarily about mathematical and scientific applications.
28,CSC,CIS 142,Computer Programming,,"Introduction to computer science using the C programming language. Emphasizes design, algorithmics, abstraction, and analysis."
29,JRN,JRN 104,College Publications,,Hands-on course in college publishing. Covers basics of reporting and writing through work on college newspaper and other assignments.
30,ECO,ECO 100,Survey of Economics,,"Economics applied to various comtemporary social problems and issues. Provides an introduction to economic principles concerning national prosperity, market behavior, income inequality, the role of government, and economic fluctuations."
31,ECO,ECO 200,Principles of Economics: Microeconomics,MAT 098,"Covers resource allocation and income distribution with emphasis on price determination, production costs, and market structures. Intermediate algebra or equivalent required."
32,ECO,ECO 201,Principles of Economics: Macroeconomics,,"Analysis of the aggregate economy: GDP, inflation, business cycles, trade and finance. Intermediate algebra or equivalent required."
33,MUS,MUS 100,Music in the Western World,,"An introduction to music. Features music from a global perspective with a focus on Western Music. Many musical examples, listening, videos on great musicians of the past."
34,MUS,MUS 101,First Year Theory and Ear Training,,"Rudiments of music - notation, scales, intervals, and triads, rhythmic and melodic sight-reading and dictation. Studies of historical periods."
35,MUS,MUS 201,Second Year Music Theory,MUS 101,"Continuation of MUS 101. Chromatic harmony, modulations and related modern concepts. Prereq: MUS 101 or instructor permission."
36,MUS,MUS 204,History of Jazz,,"Traces the roots of jazz in America from New Orleans, New York, Chicago, Kansas City, the Big Band Era, Be-Bop to modern jazz through films, lectures, recordings and live performances."
37,ENG,ENG 101,Composition - Fundamentals,,"Introduces the nature of the writing process in its various stages: gathering, shaping, establishing audience, editing, revising, polishing, and proffreading. Writing assignments concentrate on the major strategies of nonfiction prose - narration, description, and exposition."
38,ENG,ENG 102,Composition - Intermediate,ENG 101,"Continues instruction on the writing process, extending it to include source-based writing of the kind typically done in academic settings. Topics for reading and writing will vary instructor to instructor. Prereq: ENG 101 or instructor permission."
39,ENG,ENG 104,Advanced English Grammar,,Study of the grammar and rhetoric of the English sentence. Not a remedial course.
40,GEG,GEG 100,Introduction to Geography,,"An introduction to the major cultures of the world (Hebrew, Christian, Islamic, Hindu, Buddhist), their origins, values, heroes, rituals, scriptures and cross-cultural influences."
41,GEG,GEG 205,Physical Geography,,"Study of the Earth, the materials that make it up, and plate tectonics. Special attention to the Pacific Northwest. Includes laboratory and field trip work."
42,HIS,HIS 101,World History to 1500,,"Historic foundations and development of the great civilizations from prehistoric days to the Renaissance with emphasis on social, political, economic and geographic aspects. Attention to the nature of history as an intellectual and academic discipline."
43,HIS,HIS 111,U.S. History to 1877,,"American history from the colonial period through Reconstruction. Emphasis on the American Revolution, the National Period, slavery, territorial expansion, the Civil War and Reconstruction."
44,HIS,HIS 112,U.S. History Since 1865,,"Includes Reconstruction, industrialization, urbanization, westward movement, political reform movements, agrarian protest, progressive period, 1920's Great Depressioin and the New Deal, WWII, the conservative 50's, liberalism of the 60's and 70's, and into the next century."
45,MAT,MAT 080,Preparatory Mathematics,,"Individualized instruction in Arithmetic, Algebra I and II, Geometry, nad Intermediate Algebra."
46,MAT,MAT 097,Elementary Algebra,,"First course in Algebra includes signed numbers, linear equations, linear inequalities, products and factorization of polynomials, and operations with quotients of polynomials."
47,MAT,MAT 098,Intermediate Algebra,,"Sets and the real number system, polynomial and rational expressions, exponents and radicals, first and second degree equations, linear systems of equations, and graphs."
48,MAT,MAT 103,Geometry and Visualization,,"Basic plane geometry concepts, emphasizing problem-solving. Right triangle trigonometry. Introduction to 3-D geometry/spatial thinking. Directed towards students with no high school geometry but who plan a career in science/engineering."
49,MAT,MAT 104,Trigonometry,,"Elementary plane goemetry, right triangle tirgonometry, general angels, identities, equations, word problems, and selected topics."
50,PHY,PHY 100,Survey Of Physics,,Basic laws of phyics from the laws of motion through nuclear physics. Also examines the origins and impact on society of the basic physics concepts.
51,PHY,PHY 101,General Physics,,"Classical mechanics; kinematics and dynamics. Includes development of concepts of force, work/energy, impulse/momentum, and the conservation laws."
52,PHY,PHY 201,Engineering Physics I,,"Development of the basic principles of classical mechanics. A calculus approach is used to introduce kinematics, Newton's laws, the work-energy theorem, and conservation laws."
53,PHY,PHY 203,Engineering Physics II,PHY 201,Waves and oscillations. Mechanical waves and sound are studied as well as geometric and physical optics. The wave aspect of an electron is introduced as it applies to the stationary states of the hydrogen atom. Prereq: PHY 201.
54,POL,POL 101,Introduction to Political Science,,"Introduction to theory, organization, politics and administration of government. Includes political theory, comparative systems, political socialization, public administration, political parties and elections, and international relations."
55,POL,POL 102,American Government,,"Origin and development of the U.S. government. Covers the stucture and function of Congress, the Presidency and courts as well as civil liberties, political behavior and political parties."
56,POL,POL 213,Women and Politics,,"Introduction to concepts of power and policy issues as they relate to women. Theoretical, historical and empirical studies of women's participation in social and political movements nationally and internationally. Study of women's diverse roles in relations to family, economics, labor, government, and law."
